Industry,NAICS,Q1_r5_p,Q1_r5_p_se,Q1_r5_estab,Q1_r5_estab_se,Q1_r5_pemp,Q1_r5_pemp_se,Q1_r5_emp,Q1_r5_emp_se,Q1_r6_p,Q1_r6_p_se,Q1_r6_estab,Q1_r6_estab_se,Q1_r6_pemp,Q1_r6_pemp_se,Q1_r6_emp,Q1_r6_emp_se,Q1_r7_p,Q1_r7_p_se,Q1_r7_estab,Q1_r7_estab_se,Q1_r7_pemp,Q1_r7_pemp_se,Q1_r7_emp,Q1_r7_emp_se,Q1_r8_p,Q1_r8_p_se,Q1_r8_estab,Q1_r8_estab_se,Q1_r8_pemp,Q1_r8_pemp_se,Q1_r8_emp,Q1_r8_emp_se,Q1_r9_p,Q1_r9_p_se,Q1_r9_estab,Q1_r9_estab_se,Q1_r9_pemp,Q1_r9_pemp_se,Q1_r9_emp,Q1_r9_emp_se,Q1_r12_p,Q1_r12_p_se,Q1_r12_estab,Q1_r12_estab_se,Q1_r12_pemp,Q1_r12_pemp_se,Q1_r12_emp,Q1_r12_emp_se
"Total U.S., private sector",00,36.3,0.28,3068846.0,23354.0,43.78,0.4,55284264.0,509632.0,55.58,0.28,4698654.0,23514.0,56.91,0.42,71860832.0,525649.0,13.19,0.23,1115161.0,19071.0,18.9,0.38,23867885.0,476617.0,11.45,0.17,968133.0,14350.0,11.77,0.33,14860484.0,416341.0,18.74,0.25,1584019.0,20908.0,20.51,0.36,25894712.0,451192.0,17.75,0.26,1500849.0,22242.0,13.45,0.32,16981279.0,398430.0
"Agriculture, Forestry, Fishing and Hunting",11,30.21,4.38,31612.0,4583.0,44.11,3.96,564213.0,50639.0,48.14,4.62,50371.0,4836.0,51.52,4.75,659012.0,60796.0,9.02,1.86,9433.0,1950.0,13.52,3.71,172891.0,47430.0,20.05,2.25,20979.0,2356.0,24.78,3.83,317010.0,48964.0,2.54,1.8,2658.0,1887.0,1.58,3.51,20196.0,44933.0,27.99,4.48,29284.0,4688.0,20.39,4.1,260820.0,52418.0
"Mining, Quarrying, and Oil and Gas Extraction",21,11.39,1.37,3483.0,417.0,16.1,3.9,108749.0,26368.0,70.03,3.12,21410.0,955.0,73.16,4.02,494075.0,27130.0,2.01,1.1,613.0,335.0,1.93,3.59,13045.0,24260.0,7.33,1.33,2241.0,407.0,9.52,3.69,64262.0,24899.0,2.72,1.1,832.0,336.0,3.6,3.63,24298.0,24482.0,21.63,2.95,6614.0,902.0,18.16,3.98,122624.0,26857.0
Utilities,22,18.26,2.13,3361.0,391.0,17.01,1.75,93349.0,9578.0,17.56,3.35,3232.0,616.0,20.21,1.86,110931.0,10223.0,4.96,1.75,912.0,321.0,3.82,1.4,20941.0,7689.0,6.87,2.22,1264.0,408.0,6.72,1.66,36896.0,9097.0,4.77,1.71,877.0,315.0,3.8,1.38,20861.0,7567.0,57.21,3.32,10529.0,612.0,57.63,2.02,316275.0,11074.0
Construction,23,44.97,0.57,351159.0,4457.0,41.69,0.95,3129451.0,71256.0,50.89,0.57,397358.0,4428.0,51.0,0.96,3828294.0,72143.0,10.45,0.32,81630.0,2500.0,9.71,0.74,729160.0,55899.0,13.3,0.4,103873.0,3149.0,11.68,0.51,877121.0,38603.0,11.87,0.36,92665.0,2820.0,11.4,0.68,855760.0,51038.0,19.45,0.43,151908.0,3368.0,21.24,1.03,1594713.0,77123.0
Manufacturing,31-33,40.28,0.48,138486.0,1643.0,44.12,1.03,5669552.0,131757.0,66.46,0.46,228520.0,1581.0,63.78,0.93,8196742.0,119723.0,12.42,0.3,42710.0,1024.0,22.16,0.87,2847631.0,112300.0,20.35,0.4,69982.0,1385.0,24.12,0.95,3099352.0,121660.0,13.58,0.35,46710.0,1205.0,10.07,0.53,1293935.0,68498.0,12.62,0.32,43400.0,1114.0,9.66,0.69,1241876.0,88922.0
Wholesale Trade,42,33.64,1.14,195741.0,6653.0,39.17,2.05,2319883.0,121125.0,60.74,1.07,353454.0,6208.0,59.18,2.1,3505153.0,124119.0,15.44,0.8,89859.0,4652.0,24.02,1.76,1422530.0,104151.0,23.48,1.08,136623.0,6287.0,23.02,2.07,1363550.0,122509.0,8.23,0.74,47875.0,4285.0,8.01,1.45,474586.0,85810.0,17.06,0.83,99292.0,4840.0,11.63,1.64,688623.0,97119.0
Retail Trade,44-45,58.76,0.58,597694.0,5917.0,63.34,1.54,9971659.0,242467.0,52.49,0.59,533895.0,6004.0,47.31,1.62,7447176.0,255370.0,27.09,0.51,275569.0,5179.0,36.58,1.56,5758441.0,245579.0,22.02,0.5,223942.0,5092.0,19.67,1.4,3095818.0,221078.0,25.2,0.52,256338.0,5265.0,23.79,1.3,3745319.0,205173.0,7.74,0.32,78757.0,3251.0,5.75,1.07,904945.0,168849.0
Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),48-49A,23.68,2.21,26654.0,2490.0,33.84,2.43,1195405.0,86022.0,61.34,3.61,69057.0,4063.0,57.77,3.19,2041010.0,112872.0,11.59,1.8,13043.0,2023.0,26.62,3.16,940283.0,111732.0,17.62,2.14,19836.0,2412.0,14.08,2.24,497493.0,79053.0,13.73,2.99,15455.0,3362.0,10.76,2.04,380250.0,72195.0,16.07,2.07,18094.0,2331.0,10.78,2.16,380982.0,76422.0
Scheduled Air Transportation,4811,12.72,2.34,304.0,56.0,2.78,3.24,12790.0,14885.0,75.55,2.44,1808.0,58.0,96.05,3.23,441868.0,14877.0,4.25,2.12,102.0,51.0,0.81,3.22,3711.0,14822.0,18.99,2.53,454.0,61.0,4.7,3.23,21633.0,14873.0,4.59,2.09,110.0,50.0,0.75,3.22,3433.0,14827.0,10.61,2.25,254.0,54.0,1.72,3.23,7912.0,14839.0
