Industry,NAICS,Q5_r13_p,Q5_r13_p_se,Q5_r13_estab,Q5_r13_estab_se,Q5_r13_pemp,Q5_r13_pemp_se,Q5_r13_emp,Q5_r13_emp_se,Q5_r7_p,Q5_r7_p_se,Q5_r7_estab,Q5_r7_estab_se,Q5_r7_pemp,Q5_r7_pemp_se,Q5_r7_emp,Q5_r7_emp_se,Q5_r8_p,Q5_r8_p_se,Q5_r8_estab,Q5_r8_estab_se,Q5_r8_pemp,Q5_r8_pemp_se,Q5_r8_emp,Q5_r8_emp_se
"Total U.S., private sector",00,30.89,0.29,2611007.0,24139.0,54.28,0.35,68550503.0,443021.0,17.62,0.26,1489250.0,22199.0,9.82,0.29,12400849.0,362228.0,52.25,0.29,4417171.0,24142.0,36.87,0.34,46555019.0,431900.0
"Agriculture, Forestry, Fishing and Hunting",11,6.02,1.81,6301.0,1896.0,25.54,3.74,326663.0,47876.0,8.95,2.09,9362.0,2189.0,10.71,4.07,136978.0,52092.0,86.05,2.11,90044.0,2207.0,66.36,3.85,848865.0,49288.0
"Mining, Quarrying, and Oil and Gas Extraction",21,27.87,3.53,8520.0,1080.0,51.64,6.35,348768.0,42898.0,15.66,2.37,4789.0,725.0,18.38,5.5,124147.0,37164.0,56.83,3.67,17375.0,1122.0,30.59,5.12,206612.0,34566.0
Utilities,22,47.92,3.71,8819.0,683.0,80.85,1.63,443730.0,8951.0,18.5,3.55,3405.0,652.0,6.62,1.38,36324.0,7575.0,34.42,3.5,6334.0,645.0,13.04,1.45,71566.0,7962.0
Construction,23,18.11,0.4,141409.0,3148.0,48.82,0.77,3664685.0,57736.0,12.67,0.38,98898.0,2941.0,10.4,0.44,780519.0,33316.0,69.95,0.5,546175.0,3904.0,41.58,0.75,3121033.0,56595.0
Manufacturing,31-33,33.3,0.43,114487.0,1482.0,71.48,0.66,9186004.0,84751.0,14.66,0.37,50420.0,1257.0,7.74,0.52,995098.0,66191.0,52.87,0.47,181799.0,1622.0,21.78,0.59,2798842.0,75490.0
Wholesale Trade,42,41.57,1.18,241926.0,6853.0,60.17,1.81,3563793.0,107463.0,25.9,1.02,150727.0,5952.0,12.85,1.53,761049.0,90379.0,33.3,1.15,193805.0,6675.0,27.64,1.57,1636811.0,92727.0
Retail Trade,44-45,14.55,0.43,147994.0,4328.0,29.06,1.51,4575107.0,237928.0,11.35,0.38,115479.0,3859.0,11.37,1.21,1790317.0,190820.0,74.79,0.52,760690.0,5275.0,60.26,1.59,9486026.0,250032.0
Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),48-49A,27.64,2.09,31120.0,2349.0,56.85,2.32,2008482.0,82064.0,16.08,1.94,18106.0,2184.0,11.49,1.97,405834.0,69574.0,57.27,2.46,64480.0,2765.0,33.14,2.3,1170634.0,81288.0
Scheduled Air Transportation,4811,49.65,2.67,1188.0,64.0,90.51,3.23,416364.0,14875.0,11.34,2.53,271.0,61.0,4.73,3.23,21782.0,14837.0,39.34,3.0,941.0,72.0,8.7,3.24,40023.0,14886.0
Truck Transportation,484,15.29,1.74,20274.0,2310.0,47.97,2.45,737213.0,37701.0,14.76,2.44,19570.0,3240.0,11.59,2.14,178087.0,32888.0,70.24,2.68,93112.0,3557.0,40.63,2.56,624530.0,39357.0
Information,51,51.16,2.59,89349.0,4518.0,81.83,2.39,2355722.0,68928.0,33.95,2.63,59305.0,4601.0,10.25,2.29,295185.0,66070.0,17.3,2.31,30218.0,4028.0,9.49,2.27,273300.0,65275.0
Finance and Insurance,52,57.82,1.36,278798.0,6557.0,84.33,1.1,5113140.0,66741.0,19.3,1.15,93078.0,5532.0,6.95,1.08,421099.0,65778.0,23.59,1.23,113766.0,5941.0,10.24,1.05,620581.0,63922.0
Real Estate and Rental and Leasing,53,35.64,1.63,143451.0,6547.0,56.6,1.96,1310834.0,45410.0,22.41,1.42,90203.0,5730.0,13.77,1.46,318813.0,33911.0,42.21,1.7,169876.0,6846.0,30.08,1.94,696745.0,44890.0
