State,FIPS,Q5_r13_p,Q5_r13_p_se,Q5_r13_estab,Q5_r13_estab_se,Q5_r13_pemp,Q5_r13_pemp_se,Q5_r13_emp,Q5_r13_emp_se,Q5_r7_p,Q5_r7_p_se,Q5_r7_estab,Q5_r7_estab_se,Q5_r7_pemp,Q5_r7_pemp_se,Q5_r7_emp,Q5_r7_emp_se,Q5_r8_p,Q5_r8_p_se,Q5_r8_estab,Q5_r8_estab_se,Q5_r8_pemp,Q5_r8_pemp_se,Q5_r8_emp,Q5_r8_emp_se
"Total U.S., private sector",,30.89,0.29,2611007.0,24139.0,54.28,0.35,68550503.0,443021.0,17.62,0.26,1489250.0,22199.0,9.82,0.29,12400849.0,362228.0,52.25,0.29,4417171.0,24142.0,36.87,0.34,46555019.0,431900.0
Alabama,01,25.03,1.0,27768.0,1109.0,39.37,1.47,638758.0,23890.0,17.01,0.95,18871.0,1059.0,15.12,1.84,245235.0,29788.0,59.13,0.99,65591.0,1102.0,46.59,1.79,755762.0,29111.0
Alaska,02,28.81,0.84,5536.0,161.0,49.28,2.69,122848.0,6707.0,15.23,0.73,2928.0,139.0,10.35,2.64,25792.0,6583.0,56.95,0.87,10945.0,168.0,44.01,2.72,109726.0,6790.0
Arizona,04,32.73,1.12,49661.0,1702.0,55.74,1.73,1398884.0,43423.0,23.19,1.07,35181.0,1623.0,9.78,1.51,245481.0,37926.0,45.11,1.06,68449.0,1611.0,35.72,1.89,896571.0,47411.0
Arkansas,05,25.03,0.93,18678.0,697.0,42.2,1.73,431000.0,17667.0,17.11,0.87,12763.0,648.0,11.51,1.4,117604.0,14344.0,58.56,1.0,43696.0,743.0,47.39,1.85,484035.0,18932.0
California,06,33.64,1.73,342092.0,17585.0,56.84,1.51,8356215.0,222595.0,17.19,1.62,174798.0,16456.0,7.9,1.18,1160758.0,173195.0,50.3,1.71,511610.0,17361.0,36.45,1.52,5359418.0,224038.0
Colorado,08,36.03,1.14,69723.0,2207.0,53.76,2.06,1241615.0,47656.0,25.66,1.12,49668.0,2164.0,14.06,1.48,324655.0,34120.0,39.2,1.0,75863.0,1943.0,33.58,2.19,775667.0,50646.0
Connecticut,09,33.94,1.05,34090.0,1051.0,55.94,1.66,803132.0,23774.0,17.13,0.92,17203.0,924.0,7.8,1.24,111955.0,17847.0,49.85,1.01,50081.0,1011.0,37.62,1.62,540133.0,23279.0
Delaware,10,33.18,1.16,8911.0,311.0,54.41,3.4,210987.0,13195.0,16.3,1.05,4377.0,282.0,7.72,3.27,29916.0,12661.0,50.85,1.13,13658.0,304.0,38.07,3.39,147631.0,13129.0
District of Columbia,11,56.98,1.31,17206.0,395.0,70.69,3.23,379710.0,17352.0,19.27,1.16,5818.0,351.0,10.54,3.0,56634.0,16122.0,24.52,0.97,7403.0,292.0,19.27,3.17,103483.0,17027.0
Florida,12,29.16,1.21,185986.0,7725.0,51.31,2.13,4002763.0,166092.0,18.88,1.12,120405.0,7171.0,11.72,1.96,914130.0,153022.0,52.41,1.25,334247.0,7989.0,37.72,2.0,2942052.0,156381.0
Georgia,13,30.35,1.07,73872.0,2593.0,51.82,1.71,1996409.0,65927.0,20.46,1.02,49810.0,2494.0,11.84,1.57,456104.0,60419.0,50.48,1.07,122875.0,2615.0,37.32,1.77,1437884.0,68000.0
Hawaii,15,31.31,0.94,11960.0,358.0,49.71,1.68,264748.0,8930.0,15.44,0.77,5898.0,293.0,10.02,1.4,53339.0,7473.0,54.17,0.96,20689.0,368.0,41.39,1.66,220414.0,8850.0
Idaho,16,25.65,0.92,15410.0,553.0,45.25,1.5,286548.0,9530.0,21.38,0.95,12846.0,573.0,13.22,1.22,83736.0,7741.0,53.92,1.0,32396.0,603.0,42.53,1.5,269328.0,9473.0
Illinois,17,29.98,1.14,96965.0,3692.0,54.36,1.27,2831074.0,65998.0,17.58,1.07,56847.0,3444.0,10.01,1.58,521292.0,82205.0,53.16,1.16,171919.0,3746.0,36.63,1.71,1907868.0,89023.0
Indiana,18,29.16,0.98,45012.0,1518.0,52.92,1.36,1423211.0,36612.0,17.07,0.9,26343.0,1395.0,9.9,1.28,266127.0,34306.0,54.4,1.03,83973.0,1590.0,38.83,1.53,1044257.0,41221.0
Iowa,19,25.29,0.85,23265.0,786.0,49.88,1.07,652649.0,14065.0,17.36,0.79,15967.0,730.0,10.49,0.86,137213.0,11214.0,57.68,0.91,53048.0,836.0,40.16,1.09,525521.0,14264.0
Kansas,20,28.42,0.9,21803.0,693.0,49.49,1.82,567878.0,20852.0,18.49,0.85,14188.0,650.0,11.6,1.66,133101.0,19042.0,54.14,0.95,41533.0,727.0,39.67,1.79,455179.0,20583.0
Kentucky,21,28.73,1.0,29008.0,1013.0,49.51,2.24,792758.0,35947.0,15.66,0.88,15809.0,891.0,9.79,1.9,156835.0,30361.0,56.24,1.03,56779.0,1045.0,41.42,2.18,663221.0,34911.0
Louisiana,22,29.34,0.99,32873.0,1114.0,49.22,1.28,794023.0,20571.0,15.15,0.86,16968.0,966.0,9.0,0.95,145188.0,15384.0,56.18,1.04,62934.0,1167.0,42.65,1.26,688066.0,20374.0
Maine,23,27.07,0.89,12003.0,395.0,50.54,1.86,263059.0,9686.0,16.84,0.82,7468.0,363.0,10.58,1.72,55067.0,8946.0,56.71,0.92,25148.0,407.0,39.33,1.01,204717.0,5253.0
Maryland,24,35.03,1.13,54014.0,1736.0,54.78,1.94,1207000.0,42740.0,18.15,0.97,27979.0,1491.0,9.43,1.34,207817.0,29556.0,47.6,1.11,73385.0,1704.0,36.9,1.86,812997.0,40925.0
Massachusetts,25,35.4,1.26,70502.0,2519.0,61.94,2.12,1955834.0,66923.0,16.15,1.09,32174.0,2164.0,7.61,2.03,240249.0,63978.0,49.22,1.24,98034.0,2462.0,31.26,2.01,987021.0,63449.0
Michigan,26,31.64,1.07,69220.0,2350.0,63.96,1.66,2411637.0,62464.0,16.42,1.03,35928.0,2261.0,7.35,1.26,277285.0,47511.0,52.5,1.14,114866.0,2501.0,29.58,1.62,1115273.0,61030.0
Minnesota,27,30.94,0.99,45137.0,1441.0,57.68,1.46,1449634.0,36733.0,19.34,0.94,28219.0,1368.0,9.49,1.33,238558.0,33510.0,50.48,0.99,73649.0,1444.0,33.75,1.58,848201.0,39767.0
Mississippi,28,20.6,0.95,13025.0,602.0,33.64,2.35,303635.0,21206.0,14.23,0.88,8997.0,555.0,13.9,2.25,125457.0,20321.0,65.87,1.08,41655.0,681.0,53.01,1.97,478404.0,17797.0
Missouri,29,30.97,1.11,48634.0,1745.0,53.39,1.5,1269647.0,35754.0,16.75,0.94,26301.0,1477.0,8.94,1.21,212598.0,28796.0,53.29,1.11,83687.0,1738.0,38.51,1.48,915758.0,35094.0
Montana,30,23.85,0.86,10810.0,388.0,42.19,1.07,163559.0,4164.0,20.07,0.87,9097.0,395.0,11.6,0.79,44962.0,3059.0,57.12,0.97,25886.0,438.0,46.92,1.07,181921.0,4155.0
Nebraska,31,24.44,0.9,15078.0,557.0,49.12,2.37,401908.0,19425.0,16.52,0.85,10192.0,523.0,10.96,1.8,89701.0,14724.0,59.51,0.96,36713.0,595.0,40.56,1.93,331840.0,15782.0
Nevada,32,31.83,1.13,24593.0,873.0,48.33,2.62,602552.0,32686.0,22.32,1.04,17248.0,803.0,11.83,1.38,147429.0,17234.0,46.91,1.1,36244.0,849.0,40.8,2.46,508723.0,30664.0
New Hampshire,33,34.31,1.12,16578.0,541.0,57.69,1.89,335637.0,10995.0,20.75,1.06,10029.0,512.0,8.12,1.23,47255.0,7146.0,45.66,1.04,22062.0,501.0,34.9,1.89,203057.0,10983.0
New Jersey,34,30.2,1.06,69822.0,2462.0,57.74,1.87,2009725.0,65146.0,15.19,0.92,35116.0,2127.0,10.05,1.61,349768.0,56034.0,55.31,1.13,127878.0,2610.0,35.06,1.74,1220386.0,60430.0
New Mexico,35,28.07,0.94,13792.0,460.0,45.21,1.93,296496.0,12666.0,17.9,0.83,8793.0,409.0,9.07,1.56,59489.0,10262.0,54.59,0.97,26820.0,475.0,46.42,1.94,304427.0,12723.0
New York,36,30.9,1.2,163779.0,6346.0,62.33,1.5,5034989.0,121075.0,15.46,1.03,81937.0,5485.0,7.54,1.05,609362.0,85067.0,54.05,1.22,286501.0,6454.0,30.38,1.39,2454256.0,112395.0
North Carolina,37,29.98,1.07,76789.0,2736.0,50.93,1.66,1932832.0,63084.0,17.1,0.95,43801.0,2438.0,10.04,1.03,380927.0,39117.0,53.69,1.09,137513.0,2790.0,39.88,1.69,1513324.0,64255.0
North Dakota,38,22.47,0.88,6284.0,247.0,41.29,2.55,145619.0,8992.0,16.91,0.87,4728.0,242.0,12.88,2.31,45436.0,8138.0,61.45,1.0,17182.0,279.0,46.31,1.34,163306.0,4714.0
Ohio,39,30.69,1.01,82158.0,2708.0,56.12,1.91,2646192.0,89836.0,15.25,0.86,40835.0,2314.0,9.02,0.96,425473.0,45250.0,54.58,1.03,146114.0,2767.0,35.94,1.84,1694532.0,86650.0
Oklahoma,40,24.3,0.93,23779.0,915.0,45.13,2.05,586470.0,26690.0,19.55,0.94,19133.0,917.0,11.51,1.56,149597.0,20230.0,57.16,1.05,55927.0,1023.0,44.43,2.16,577393.0,28135.0
Oregon,41,32.16,0.97,42452.0,1286.0,53.57,1.26,891896.0,20925.0,19.5,0.91,25744.0,1200.0,9.99,1.01,166294.0,16885.0,48.84,0.96,64472.0,1273.0,37.15,1.27,618497.0,21215.0
Pennsylvania,42,30.9,1.02,101093.0,3340.0,56.4,1.34,2958386.0,70140.0,16.61,0.95,54331.0,3118.0,8.94,1.1,468903.0,57462.0,53.47,1.06,174911.0,3456.0,35.75,1.37,1875309.0,71606.0
Puerto Rico,72,27.06,0.75,11930.0,331.0,54.71,1.54,371813.0,10486.0,9.88,0.58,4359.0,257.0,6.19,0.94,42051.0,6386.0,63.73,0.83,28102.0,368.0,40.17,1.53,272942.0,10366.0
Rhode Island,44,29.21,1.09,10153.0,377.0,51.58,1.51,218309.0,6390.0,18.01,0.96,6259.0,333.0,9.55,1.24,40433.0,5255.0,53.42,1.06,18566.0,367.0,39.4,1.48,166753.0,6266.0
South Carolina,45,28.04,1.0,34077.0,1219.0,45.11,1.49,801904.0,26496.0,19.36,0.93,23525.0,1135.0,12.47,1.57,221590.0,27888.0,53.07,1.05,64490.0,1270.0,43.4,1.79,771475.0,31854.0
South Dakota,46,22.74,0.83,6965.0,254.0,41.86,1.49,149043.0,5321.0,19.49,0.84,5970.0,256.0,11.94,1.28,42497.0,4565.0,58.31,0.91,17859.0,278.0,46.74,1.41,166404.0,5028.0
