Size Class,Q5_r13_p,Q5_r13_p_se,Q5_r13_estab,Q5_r13_estab_se,Q5_r13_pemp,Q5_r13_pemp_se,Q5_r13_emp,Q5_r13_emp_se,Q5_r7_p,Q5_r7_p_se,Q5_r7_estab,Q5_r7_estab_se,Q5_r7_pemp,Q5_r7_pemp_se,Q5_r7_emp,Q5_r7_emp_se,Q5_r8_p,Q5_r8_p_se,Q5_r8_estab,Q5_r8_estab_se,Q5_r8_pemp,Q5_r8_pemp_se,Q5_r8_emp,Q5_r8_emp_se
"Total U.S., private sector",30.89,0.29,2611007.0,24139.0,54.28,0.35,68550503.0,443021.0,17.62,0.26,1489250.0,22199.0,9.82,0.29,12400849.0,362228.0,52.25,0.29,4417171.0,24142.0,36.87,0.34,46555019.0,431900.0
Size Class 1 (1-4),26.81,0.46,1218952.0,21100.0,25.7,0.49,1956536.0,37589.0,23.87,0.45,1085198.0,20515.0,22.59,0.48,1719835.0,36585.0,50.02,0.46,2274502.0,21026.0,52.37,0.5,3986195.0,38030.0
Size Class 2 (5-9),29.84,0.5,474777.0,7878.0,29.66,0.49,2935415.0,48595.0,11.28,0.38,179520.0,6065.0,11.26,0.38,1114823.0,37472.0,59.79,0.51,951307.0,8133.0,60.0,0.51,5938674.0,50231.0
Size Class 3 (10-19),32.84,0.56,364055.0,6247.0,32.62,0.56,4736274.0,81201.0,9.69,0.36,107393.0,3945.0,9.67,0.36,1403611.0,51563.0,58.09,0.57,643932.0,6334.0,58.33,0.57,8468847.0,82395.0
Size Class 4 (20-49),38.64,0.65,296202.0,4944.0,38.79,0.65,8805083.0,147008.0,9.6,0.46,73607.0,3543.0,9.6,0.46,2179674.0,105277.0,52.47,0.63,402210.0,4822.0,52.33,0.63,11880074.0,143408.0
Size Class 5 (50-99),51.59,1.17,128431.0,2902.0,51.92,1.17,8804684.0,198578.0,10.07,0.84,25080.0,2091.0,10.07,0.84,1708507.0,142674.0,39.7,1.11,98837.0,2763.0,39.37,1.11,6676890.0,188984.0
Size Class 6 (100-249),63.41,1.31,87782.0,1808.0,63.71,1.31,13128574.0,270322.0,10.68,1.13,14791.0,1564.0,10.66,1.14,2195854.0,234808.0,26.7,1.31,36969.0,1818.0,26.41,1.32,5442426.0,271482.0
Size Class 7 (250-499),71.77,1.5,25021.0,521.0,72.07,1.48,8519290.0,174780.0,7.49,1.25,2610.0,437.0,7.4,1.23,875274.0,145602.0,22.17,1.47,7731.0,513.0,21.94,1.45,2593027.0,171665.0
Size Class 8 (500-999),83.99,0.77,9975.0,91.0,83.98,0.78,6794205.0,62759.0,6.01,0.61,714.0,72.0,6.03,0.61,488148.0,49439.0,11.4,0.71,1354.0,84.0,11.4,0.71,922112.0,57546.0
Size Class 9 (1000+),90.81,0.95,5812.0,61.0,91.46,0.93,12870441.0,131507.0,5.25,0.91,336.0,58.0,5.08,0.89,715123.0,124857.0,5.15,0.85,330.0,54.0,4.6,0.81,646774.0,114085.0
Small (1-499),30.77,0.29,2595219.0,24139.0,46.95,0.4,48885857.0,418372.0,17.64,0.26,1488200.0,22198.0,10.75,0.32,11197577.0,336415.0,52.34,0.29,4415487.0,24142.0,43.21,0.4,44986133.0,412566.0
Large (500+),86.38,0.6,15787.0,110.0,88.73,0.66,19664646.0,145715.0,5.74,0.51,1050.0,93.0,5.43,0.61,1203272.0,134289.0,9.21,0.55,1683.0,100.0,7.08,0.58,1568885.0,127777.0
