State,FIPS,Q6_r59_p,Q6_r59_p_se,Q6_r59_estab,Q6_r59_estab_se,Q6_r59_pemp,Q6_r59_pemp_se,Q6_r59_emp,Q6_r59_emp_se
"Total U.S., private sector",,13.85,0.23,1170973.0,19740.0,28.07,0.43,35447235.0,543512.0
Alabama,01,15.43,0.75,17121.0,835.0,27.63,1.3,448209.0,21118.0
Alaska,02,13.82,0.65,2656.0,124.0,21.04,2.75,52442.0,6859.0
Arizona,04,17.03,0.88,25839.0,1339.0,32.1,2.2,805596.0,55104.0
Arkansas,05,13.99,0.78,10436.0,582.0,29.14,2.15,297612.0,21956.0
California,06,17.28,1.53,175750.0,15512.0,36.9,2.18,5425311.0,319788.0
Colorado,08,15.64,0.87,30271.0,1686.0,35.55,2.35,821010.0,54195.0
Connecticut,09,13.48,0.82,13545.0,824.0,27.0,1.97,387582.0,28227.0
Delaware,10,11.72,0.74,3149.0,198.0,25.32,3.56,98167.0,13786.0
District of Columbia,11,16.69,1.08,5040.0,327.0,20.1,3.37,107981.0,18117.0
Florida,12,11.39,0.88,72641.0,5607.0,23.89,2.24,1863220.0,174737.0
Georgia,13,12.55,0.76,30547.0,1846.0,27.05,2.16,1042253.0,83168.0
Hawaii,15,9.9,0.66,3782.0,253.0,17.2,1.67,91577.0,8916.0
Idaho,16,12.37,0.68,7433.0,407.0,28.19,1.57,178523.0,9950.0
Illinois,17,11.8,0.81,38151.0,2612.0,24.4,2.18,1270772.0,113697.0
Indiana,18,13.77,0.74,21253.0,1136.0,28.49,1.83,766170.0,49318.0
Iowa,19,14.01,0.66,12889.0,607.0,25.04,1.64,327659.0,21424.0
Kansas,20,13.28,0.66,10191.0,505.0,26.06,1.88,299000.0,21621.0
Kentucky,21,14.6,0.83,14738.0,843.0,28.96,2.43,463760.0,38978.0
Louisiana,22,15.89,0.82,17802.0,914.0,27.45,1.65,442859.0,26645.0
Maine,23,11.11,0.63,4924.0,278.0,27.1,2.09,141061.0,10860.0
Maryland,24,14.14,0.84,21806.0,1289.0,23.86,1.94,525769.0,42764.0
Massachusetts,25,12.36,0.86,24611.0,1703.0,22.65,1.89,715163.0,59761.0
Michigan,26,10.92,0.84,23895.0,1838.0,26.85,2.2,1012201.0,82847.0
Minnesota,27,15.14,0.79,22095.0,1157.0,33.33,2.24,837540.0,56299.0
Mississippi,28,14.7,0.83,9297.0,524.0,23.56,2.33,212638.0,21015.0
Missouri,29,12.67,0.78,19904.0,1224.0,26.94,1.99,640541.0,47305.0
Montana,30,9.23,0.56,4182.0,253.0,24.4,1.13,94580.0,4384.0
Nebraska,31,12.41,0.65,7659.0,403.0,25.73,2.09,210521.0,17089.0
Nevada,32,16.71,0.88,12909.0,681.0,33.53,2.75,417984.0,34245.0
New Hampshire,33,11.4,0.74,5509.0,359.0,21.34,1.96,124127.0,11413.0
New Jersey,34,12.5,0.76,28896.0,1767.0,28.16,2.03,980138.0,70818.0
New Mexico,35,12.82,0.68,6299.0,335.0,24.73,1.88,162173.0,12300.0
New York,36,12.04,0.84,63825.0,4436.0,30.44,2.22,2459152.0,179147.0
North Carolina,37,11.59,0.79,29688.0,2030.0,23.13,1.7,877733.0,64691.0
North Dakota,38,10.79,0.64,3018.0,180.0,22.44,2.36,79125.0,8338.0
Ohio,39,12.89,0.74,34510.0,1989.0,24.3,1.53,1145690.0,71924.0
Oklahoma,40,13.92,0.75,13622.0,729.0,29.47,2.02,382944.0,26211.0
Oregon,41,16.17,0.79,21348.0,1039.0,28.88,1.61,480827.0,26767.0
Pennsylvania,42,12.62,0.79,41272.0,2581.0,22.8,1.59,1195798.0,83479.0
Puerto Rico,72,16.94,0.69,7469.0,305.0,42.7,1.89,290188.0,12829.0
Rhode Island,44,14.29,0.81,4967.0,281.0,31.68,2.51,134087.0,10629.0
South Carolina,45,14.91,0.81,18116.0,979.0,25.24,1.62,448623.0,28853.0
South Dakota,46,11.58,0.62,3547.0,190.0,25.86,1.98,92057.0,7059.0
Tennessee,47,13.97,0.76,20909.0,1143.0,23.33,1.79,609764.0,46902.0
Texas,48,16.97,0.94,109201.0,6074.0,29.79,1.9,3181812.0,202453.0
Utah,49,13.35,0.75,13335.0,746.0,30.26,1.89,389376.0,24351.0
Vermont,50,11.03,0.64,2527.0,147.0,25.22,1.6,64759.0,4112.0
Virginia,51,14.22,0.84,30022.0,1777.0,30.48,1.83,972554.0,58417.0
Washington,53,12.71,0.73,23461.0,1343.0,21.15,2.03,598568.0,57358.0
West Virginia,54,12.17,0.7,5036.0,289.0,18.83,1.46,103857.0,8076.0
Wisconsin,55,11.65,0.65,17323.0,966.0,25.29,1.84,630142.0,45775.0
Wyoming,56,11.13,0.65,2558.0,150.0,21.86,1.42,46040.0,2995.0
