State,FIPS,Q1_r5_p,Q1_r5_p_se,Q1_r5_estab,Q1_r5_estab_se,Q1_r5_pemp,Q1_r5_pemp_se,Q1_r5_emp,Q1_r5_emp_se,Q1_r6_p,Q1_r6_p_se,Q1_r6_estab,Q1_r6_estab_se,Q1_r6_pemp,Q1_r6_pemp_se,Q1_r6_emp,Q1_r6_emp_se,Q1_r7_p,Q1_r7_p_se,Q1_r7_estab,Q1_r7_estab_se,Q1_r7_pemp,Q1_r7_pemp_se,Q1_r7_emp,Q1_r7_emp_se,Q1_r8_p,Q1_r8_p_se,Q1_r8_estab,Q1_r8_estab_se,Q1_r8_pemp,Q1_r8_pemp_se,Q1_r8_emp,Q1_r8_emp_se,Q1_r9_p,Q1_r9_p_se,Q1_r9_estab,Q1_r9_estab_se,Q1_r9_pemp,Q1_r9_pemp_se,Q1_r9_emp,Q1_r9_emp_se,Q1_r12_p,Q1_r12_p_se,Q1_r12_estab,Q1_r12_estab_se,Q1_r12_pemp,Q1_r12_pemp_se,Q1_r12_emp,Q1_r12_emp_se
"Total U.S., private sector",,36.3,0.28,3068846.0,23354.0,43.78,0.4,55284264.0,509632.0,55.58,0.28,4698654.0,23514.0,56.91,0.42,71860832.0,525649.0,13.19,0.23,1115161.0,19071.0,18.9,0.38,23867885.0,476617.0,11.45,0.17,968133.0,14350.0,11.77,0.33,14860484.0,416341.0,18.74,0.25,1584019.0,20908.0,20.51,0.36,25894712.0,451192.0,17.75,0.26,1500849.0,22242.0,13.45,0.32,16981279.0,398430.0
Alabama,01,38.46,0.99,42659.0,1095.0,45.2,1.45,733224.0,23494.0,52.53,1.12,58269.0,1238.0,54.53,1.62,884605.0,26333.0,13.24,0.71,14689.0,792.0,16.93,1.45,274602.0,23528.0,11.34,0.71,12582.0,787.0,10.04,1.02,162913.0,16599.0,13.28,0.72,14737.0,794.0,12.02,0.84,194939.0,13646.0,21.19,0.93,23502.0,1035.0,17.06,1.11,276685.0,18007.0
Alaska,02,42.14,0.92,8099.0,178.0,49.91,2.62,124424.0,6538.0,53.82,0.97,10345.0,187.0,57.01,2.31,142118.0,5747.0,13.87,0.68,2666.0,130.0,17.22,2.26,42920.0,5645.0,18.55,0.75,3565.0,144.0,24.01,2.44,59845.0,6082.0,22.3,0.77,4286.0,147.0,24.81,2.31,61852.0,5748.0,16.43,0.75,3157.0,144.0,11.74,2.14,29276.0,5329.0
Arizona,04,34.32,1.05,52082.0,1590.0,44.25,2.32,1110709.0,58191.0,52.65,1.25,79888.0,1893.0,44.79,2.26,1124215.0,56759.0,14.52,0.84,22032.0,1272.0,22.12,2.03,555177.0,51001.0,9.79,0.66,14861.0,996.0,11.08,1.94,278103.0,48643.0,14.06,0.8,21331.0,1207.0,15.9,1.86,399151.0,46747.0,21.56,1.06,32713.0,1602.0,21.29,2.11,534334.0,52861.0
Arkansas,05,40.89,1.01,30513.0,751.0,50.56,1.97,516396.0,20087.0,47.7,1.11,35591.0,829.0,51.65,1.9,527489.0,19453.0,15.43,0.76,11512.0,571.0,19.9,1.79,203294.0,18308.0,11.07,0.69,8260.0,519.0,10.73,1.39,109595.0,14158.0,7.94,0.51,5925.0,378.0,9.64,1.03,98420.0,10514.0,23.18,0.99,17298.0,738.0,16.92,1.24,172775.0,12636.0
California,06,34.12,1.67,346978.0,17021.0,41.33,1.86,6076136.0,273571.0,60.51,1.45,615407.0,14758.0,58.54,1.95,8606069.0,287426.0,11.72,1.46,119244.0,14888.0,19.91,1.83,2926873.0,269219.0,12.64,0.9,128508.0,9143.0,12.91,1.58,1897545.0,231927.0,22.27,1.62,226542.0,16467.0,25.99,1.84,3821048.0,270829.0,13.9,1.63,141345.0,16608.0,11.8,1.54,1735564.0,225886.0
Colorado,08,30.17,0.95,58396.0,1836.0,40.74,1.75,940922.0,40365.0,50.17,1.22,97105.0,2359.0,53.17,2.37,1227992.0,54771.0,13.62,0.84,26369.0,1635.0,18.09,2.17,417921.0,50215.0,9.71,0.68,18798.0,1312.0,11.25,1.9,259801.0,43795.0,18.18,0.84,35182.0,1634.0,20.47,1.36,472904.0,31489.0,22.42,1.06,43395.0,2057.0,15.02,1.24,346974.0,28659.0
Connecticut,09,36.17,1.05,36338.0,1057.0,44.41,1.77,637599.0,25369.0,56.32,1.23,56575.0,1233.0,59.14,1.86,849048.0,26679.0,13.58,0.83,13637.0,833.0,21.46,1.67,308090.0,23943.0,11.73,0.73,11787.0,737.0,10.87,1.45,156066.0,20825.0,17.33,0.84,17411.0,841.0,18.7,1.58,268519.0,22688.0,17.08,1.01,17162.0,1019.0,13.57,1.31,194780.0,18834.0
Delaware,10,35.34,1.11,9492.0,297.0,48.05,3.28,186315.0,12730.0,53.12,1.27,14268.0,340.0,57.12,3.45,221500.0,13377.0,13.45,0.93,3613.0,249.0,17.65,3.44,68458.0,13335.0,10.1,0.71,2714.0,189.0,9.11,3.16,35341.0,12252.0,16.27,0.8,4370.0,215.0,17.45,3.22,67683.0,12476.0,20.0,0.93,5371.0,249.0,16.05,3.23,62230.0,12544.0
District of Columbia,11,18.8,0.99,5677.0,300.0,21.1,3.17,113316.0,17033.0,49.25,1.39,14873.0,421.0,52.5,3.6,282005.0,19343.0,8.65,0.88,2611.0,266.0,7.44,3.11,39965.0,16727.0,6.72,0.71,2029.0,214.0,6.68,3.08,35867.0,16527.0,23.66,1.15,7145.0,348.0,23.89,3.26,128336.0,17521.0,25.91,1.28,7823.0,386.0,23.81,3.57,127880.0,19161.0
