Size Class,Q7_r1_p,Q7_r1_p_se,Q7_r1_estab,Q7_r1_estab_se,Q7_r1_pemp,Q7_r1_pemp_se,Q7_r1_emp,Q7_r1_emp_se
"Total U.S., private sector",62.13,0.28,5252610.0,23796.0,58.77,0.43,74219443.0,538929.0
Size Class 1 (1-4),52.64,0.44,2393505.0,20008.0,52.7,0.42,4011307.0,32338.0
Size Class 2 (5-9),71.8,0.55,1142388.0,8777.0,71.85,0.55,7112428.0,54284.0
Size Class 3 (10-19),76.25,0.62,845308.0,6882.0,76.35,0.62,11086407.0,89488.0
Size Class 4 (20-49),77.18,0.7,591596.0,5332.0,77.13,0.7,17508676.0,158519.0
Size Class 5 (50-99),70.71,1.1,176030.0,2736.0,70.58,1.1,11969873.0,187288.0
Size Class 6 (100-249),60.44,1.63,83678.0,2261.0,60.27,1.64,12418119.0,337996.0
Size Class 7 (250-499),46.84,1.96,16330.0,684.0,46.62,1.96,5511040.0,232161.0
Size Class 8 (500-999),21.63,0.89,2569.0,105.0,21.63,0.89,1750122.0,72096.0
Size Class 9 (1000+),18.86,1.39,1207.0,89.0,20.26,1.51,2851470.0,211900.0
Small (1-499),62.22,0.28,5248834.0,23795.0,66.87,0.47,69617851.0,490251.0
Large (500+),20.66,0.75,3776.0,138.0,20.76,1.01,4601592.0,223829.0
