Size Class,Q1_r5_p,Q1_r5_p_se,Q1_r5_estab,Q1_r5_estab_se,Q1_r5_pemp,Q1_r5_pemp_se,Q1_r5_emp,Q1_r5_emp_se,Q1_r6_p,Q1_r6_p_se,Q1_r6_estab,Q1_r6_estab_se,Q1_r6_pemp,Q1_r6_pemp_se,Q1_r6_emp,Q1_r6_emp_se,Q1_r7_p,Q1_r7_p_se,Q1_r7_estab,Q1_r7_estab_se,Q1_r7_pemp,Q1_r7_pemp_se,Q1_r7_emp,Q1_r7_emp_se,Q1_r8_p,Q1_r8_p_se,Q1_r8_estab,Q1_r8_estab_se,Q1_r8_pemp,Q1_r8_pemp_se,Q1_r8_emp,Q1_r8_emp_se,Q1_r9_p,Q1_r9_p_se,Q1_r9_estab,Q1_r9_estab_se,Q1_r9_pemp,Q1_r9_pemp_se,Q1_r9_emp,Q1_r9_emp_se,Q1_r12_p,Q1_r12_p_se,Q1_r12_estab,Q1_r12_estab_se,Q1_r12_pemp,Q1_r12_pemp_se,Q1_r12_emp,Q1_r12_emp_se
"Total U.S., private sector",36.3,0.28,3068846.0,23354.0,43.78,0.4,55284264.0,509632.0,55.58,0.28,4698654.0,23514.0,56.91,0.42,71860832.0,525649.0,13.19,0.23,1115161.0,19071.0,18.9,0.38,23867885.0,476617.0,11.45,0.17,968133.0,14350.0,11.77,0.33,14860484.0,416341.0,18.74,0.25,1584019.0,20908.0,20.51,0.36,25894712.0,451192.0,17.75,0.26,1500849.0,22242.0,13.45,0.32,16981279.0,398430.0
Size Class 1 (1-4),28.75,0.43,1307159.0,19724.0,30.09,0.48,2290809.0,36385.0,54.52,0.43,2478914.0,19342.0,54.53,0.41,4150990.0,31462.0,10.4,0.35,473106.0,15984.0,10.69,0.41,814076.0,30857.0,10.61,0.25,482616.0,11191.0,10.88,0.24,828591.0,18344.0,15.3,0.39,695905.0,17809.0,16.1,0.44,1225206.0,33464.0,21.93,0.43,997068.0,19767.0,21.23,0.47,1616285.0,35834.0
Size Class 2 (5-9),42.92,0.52,682927.0,8259.0,43.08,0.52,4264627.0,51076.0,55.86,0.57,888700.0,9098.0,55.93,0.57,5536654.0,56213.0,14.64,0.42,232898.0,6678.0,14.67,0.42,1452196.0,41287.0,12.54,0.37,199554.0,5864.0,12.58,0.37,1245615.0,36341.0,22.68,0.46,360834.0,7385.0,22.78,0.46,2254506.0,45713.0,14.02,0.43,223131.0,6909.0,13.94,0.43,1379410.0,42592.0
Size Class 3 (10-19),46.6,0.62,516565.0,6828.0,46.6,0.62,6765798.0,89301.0,56.92,0.63,631028.0,6939.0,57.08,0.62,8287965.0,90442.0,17.28,0.53,191551.0,5915.0,17.21,0.53,2498698.0,76936.0,12.82,0.42,142130.0,4608.0,12.81,0.41,1859544.0,60239.0,22.55,0.5,250021.0,5555.0,22.66,0.5,3290499.0,72713.0,12.55,0.52,139101.0,5716.0,12.48,0.51,1812720.0,74165.0
Size Class 4 (20-49),47.45,0.69,363684.0,5275.0,47.36,0.69,10750745.0,156821.0,58.9,0.77,451447.0,5909.0,58.9,0.77,13370017.0,175560.0,17.01,0.54,130381.0,4115.0,16.95,0.54,3847246.0,122610.0,11.84,0.53,90767.0,4052.0,11.85,0.53,2690722.0,120749.0,24.55,0.65,188150.0,4971.0,24.5,0.65,5560721.0,147975.0,10.93,0.51,83787.0,3919.0,10.96,0.52,2488896.0,117076.0
Size Class 5 (50-99),46.16,1.21,114910.0,3019.0,46.18,1.22,7830842.0,206237.0,56.75,1.12,141285.0,2782.0,56.61,1.12,9600819.0,190396.0,18.39,1.08,45779.0,2689.0,18.49,1.08,3134992.0,183938.0,12.14,0.9,30214.0,2241.0,12.2,0.91,2068509.0,153588.0,21.52,1.0,53588.0,2493.0,21.3,1.0,3612840.0,170227.0,12.78,0.96,31815.0,2384.0,12.81,0.96,2173103.0,162616.0
Size Class 6 (100-249),44.62,1.48,61765.0,2054.0,44.49,1.49,9167963.0,306929.0,55.94,1.59,77436.0,2202.0,55.79,1.6,11496492.0,329765.0,21.15,1.47,29276.0,2034.0,21.22,1.48,4372558.0,305081.0,12.17,1.32,16852.0,1825.0,12.2,1.33,2513510.0,273430.0,19.08,1.31,26415.0,1818.0,18.88,1.32,3890232.0,271805.0,13.23,1.07,18317.0,1486.0,13.32,1.08,2745507.0,222995.0
Size Class 7 (250-499),42.25,1.75,14729.0,609.0,41.94,1.74,4957065.0,205451.0,56.56,1.73,19720.0,603.0,56.64,1.72,6695818.0,203563.0,23.25,1.57,8105.0,547.0,23.03,1.55,2722390.0,183602.0,12.03,1.49,4195.0,519.0,11.95,1.47,1412415.0,173683.0,16.98,1.69,5919.0,588.0,16.99,1.68,2008411.0,198030.0,13.6,1.57,4743.0,547.0,13.68,1.56,1617539.0,184788.0
Size Class 8 (500-999),36.92,0.9,4385.0,107.0,36.94,0.9,2988466.0,72939.0,54.32,0.98,6451.0,116.0,54.31,0.98,4393837.0,79453.0,21.82,0.87,2591.0,104.0,21.78,0.88,1762183.0,70863.0,9.85,0.68,1170.0,80.0,9.7,0.67,784852.0,54604.0,17.26,0.78,2050.0,92.0,17.26,0.78,1396741.0,62841.0,16.57,0.82,1968.0,97.0,16.6,0.82,1342939.0,66568.0
Size Class 9 (1000+),42.53,1.39,2722.0,89.0,44.54,1.4,6267949.0,197370.0,57.4,1.43,3674.0,92.0,59.18,1.43,8328238.0,201022.0,23.03,1.35,1474.0,86.0,23.19,1.38,3263546.0,194720.0,9.93,1.04,635.0,67.0,10.35,1.05,1456726.0,148231.0,17.78,1.13,1138.0,72.0,18.87,1.17,2655554.0,164806.0,14.35,1.1,919.0,71.0,12.83,1.05,1804879.0,147282.0
Small (1-499),36.3,0.28,3061739.0,23354.0,44.21,0.45,46027849.0,464165.0,55.58,0.28,4688529.0,23514.0,56.8,0.46,59138756.0,479149.0,13.17,0.23,1111096.0,19070.0,18.1,0.41,18842156.0,429216.0,11.46,0.17,966328.0,14349.0,12.12,0.37,12618907.0,385208.0,18.74,0.25,1580831.0,20908.0,20.98,0.4,21842417.0,415288.0,17.76,0.26,1497962.0,22242.0,13.29,0.35,13833461.0,364174.0
Large (500+),38.89,0.76,7107.0,139.0,41.77,0.95,9256415.0,210417.0,55.4,0.81,10124.0,148.0,57.4,0.98,12722076.0,216154.0,22.24,0.74,4065.0,135.0,22.68,0.93,5025729.0,207214.0,9.88,0.57,1805.0,104.0,10.11,0.71,2241578.0,157968.0,17.44,0.64,3188.0,117.0,18.28,0.8,4052295.0,176381.0,15.8,0.66,2887.0,120.0,14.2,0.73,3147818.0,161627.0
