Industry,NAICS,Q2_r5_p,Q2_r5_p_se,Q2_r5_estab,Q2_r5_estab_se,Q2_r5_pemp,Q2_r5_pemp_se,Q2_r5_emp,Q2_r5_emp_se,Q2_r6_p,Q2_r6_p_se,Q2_r6_estab,Q2_r6_estab_se,Q2_r6_pemp,Q2_r6_pemp_se,Q2_r6_emp,Q2_r6_emp_se,Q2_r7_p,Q2_r7_p_se,Q2_r7_estab,Q2_r7_estab_se,Q2_r7_pemp,Q2_r7_pemp_se,Q2_r7_emp,Q2_r7_emp_se,Q2_r8_p,Q2_r8_p_se,Q2_r8_estab,Q2_r8_estab_se,Q2_r8_pemp,Q2_r8_pemp_se,Q2_r8_emp,Q2_r8_emp_se,Q2_r9_p,Q2_r9_p_se,Q2_r9_estab,Q2_r9_estab_se,Q2_r9_pemp,Q2_r9_pemp_se,Q2_r9_emp,Q2_r9_emp_se,Q2_r10_p,Q2_r10_p_se,Q2_r10_estab,Q2_r10_estab_se,Q2_r10_pemp,Q2_r10_pemp_se,Q2_r10_emp,Q2_r10_emp_se,Q2_r12_p,Q2_r12_p_se,Q2_r12_estab,Q2_r12_estab_se,Q2_r12_pemp,Q2_r12_pemp_se,Q2_r12_emp,Q2_r12_emp_se
"Total U.S., private sector",00,6.19,0.13,523006.0,10901.0,12.38,0.32,15627488.0,409464.0,51.85,0.3,4383425.0,25764.0,62.0,0.39,78287877.0,492014.0,4.91,0.12,414976.0,9773.0,10.94,0.31,13819856.0,396768.0,29.94,0.24,2531174.0,20579.0,38.22,0.4,48270060.0,507222.0,5.6,0.12,473460.0,9916.0,9.74,0.29,12295992.0,370376.0,10.58,0.19,894158.0,15667.0,14.72,0.33,18591190.0,422908.0,39.22,0.3,3315750.0,25355.0,26.7,0.34,33713091.0,430985.0
"Agriculture, Forestry, Fishing and Hunting",11,9.17,4.23,9596.0,4427.0,12.59,4.31,161112.0,55120.0,26.6,2.29,27835.0,2400.0,35.72,4.68,456971.0,59927.0,7.89,4.22,8252.0,4415.0,8.56,3.79,109480.0,48524.0,10.1,2.02,10573.0,2115.0,14.79,4.17,189235.0,53356.0,11.21,4.19,11728.0,4382.0,10.07,3.99,128861.0,51096.0,3.12,1.8,3261.0,1888.0,4.29,3.91,54843.0,50024.0,65.79,4.44,68842.0,4646.0,56.13,4.8,718072.0,61389.0
"Mining, Quarrying, and Oil and Gas Extraction",21,3.43,1.93,1048.0,589.0,1.6,1.9,10825.0,12808.0,48.34,4.6,14779.0,1406.0,59.69,5.16,403100.0,34835.0,0.96,0.84,294.0,258.0,1.65,1.85,11114.0,12488.0,28.09,4.06,8589.0,1241.0,40.48,4.96,273388.0,33522.0,1.07,0.86,327.0,263.0,0.7,1.84,4729.0,12433.0,22.79,4.74,6967.0,1449.0,35.09,5.88,236949.0,39682.0,43.88,4.49,13417.0,1373.0,29.57,2.71,199701.0,18272.0
Utilities,22,1.99,1.65,367.0,303.0,1.74,1.2,9566.0,6574.0,36.54,3.41,6724.0,628.0,42.75,1.89,234657.0,10357.0,1.77,1.58,326.0,291.0,1.33,1.14,7317.0,6239.0,9.85,2.85,1813.0,524.0,8.14,1.51,44698.0,8265.0,1.25,1.56,231.0,286.0,1.12,1.23,6173.0,6750.0,0.63,1.49,115.0,275.0,1.04,1.25,5726.0,6867.0,71.72,3.17,13198.0,583.0,68.64,1.79,376700.0,9843.0
Construction,23,6.49,0.26,50671.0,2063.0,8.7,0.5,653362.0,37483.0,51.5,0.56,402153.0,4409.0,57.64,1.16,4326802.0,86831.0,3.24,0.19,25312.0,1453.0,4.17,0.36,313025.0,27363.0,27.14,0.53,211894.0,4112.0,29.41,0.93,2207508.0,69530.0,4.08,0.21,31853.0,1615.0,4.82,0.57,362130.0,42767.0,6.62,0.31,51710.0,2394.0,7.66,0.82,575360.0,61809.0,43.18,0.55,337154.0,4287.0,38.15,0.99,2863392.0,74641.0
Manufacturing,31-33,7.32,0.24,25181.0,808.0,15.79,0.84,2029174.0,108055.0,56.0,0.49,192564.0,1672.0,67.48,0.81,8672302.0,103790.0,5.82,0.22,20025.0,759.0,14.05,0.79,1806006.0,101998.0,32.55,0.46,111916.0,1578.0,35.21,0.89,4524592.0,113866.0,5.41,0.2,18605.0,703.0,9.23,0.66,1186643.0,84539.0,9.85,0.3,33885.0,1018.0,16.24,0.76,2087595.0,98249.0,35.3,0.47,121370.0,1603.0,24.05,0.83,3090136.0,106083.0
Wholesale Trade,42,4.08,0.37,23728.0,2151.0,8.52,1.32,504798.0,78090.0,45.11,1.19,262535.0,6941.0,52.92,2.22,3134301.0,131464.0,3.99,0.49,23213.0,2867.0,9.8,1.32,580505.0,77987.0,23.19,1.01,134975.0,5896.0,28.79,1.96,1704972.0,116098.0,3.83,0.4,22315.0,2332.0,7.9,1.23,467740.0,72997.0,12.4,0.83,72184.0,4824.0,14.45,1.67,855511.0,99129.0,49.97,1.16,290827.0,6764.0,36.08,2.05,2137008.0,121118.0
Retail Trade,44-45,9.05,0.33,92074.0,3329.0,17.93,1.25,2823331.0,197084.0,57.29,0.58,582704.0,5922.0,62.32,1.49,9811026.0,235235.0,8.57,0.32,87213.0,3265.0,17.1,1.28,2692201.0,200821.0,34.09,0.56,346736.0,5700.0,39.1,1.45,6155698.0,228073.0,11.28,0.35,114707.0,3587.0,16.54,1.16,2603802.0,182960.0,8.86,0.35,90078.0,3611.0,11.45,1.21,1802910.0,190273.0,29.88,0.53,303876.0,5352.0,20.83,1.21,3278359.0,190416.0
Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),48-49A,7.46,1.55,8395.0,1743.0,17.29,2.92,611004.0,103010.0,56.11,2.56,63165.0,2881.0,59.14,3.23,2089293.0,114219.0,8.19,1.69,9221.0,1904.0,19.57,3.2,691437.0,113009.0,32.72,3.54,36836.0,3991.0,40.35,3.29,1425414.0,116250.0,9.04,1.53,10179.0,1718.0,13.47,2.21,475979.0,78126.0,9.48,1.71,10677.0,1926.0,17.5,3.16,618418.0,111547.0,33.61,2.38,37843.0,2683.0,17.19,2.25,607438.0,79576.0
Scheduled Air Transportation,4811,0.32,1.99,8.0,48.0,0.03,3.22,144.0,14818.0,55.87,2.97,1337.0,71.0,83.75,3.24,385287.0,14888.0,1.57,2.04,38.0,49.0,0.23,3.22,1061.0,14820.0,33.68,2.54,806.0,61.0,80.06,3.24,368280.0,14895.0,0.35,1.99,8.0,48.0,0.05,3.22,219.0,14818.0,25.35,3.03,607.0,72.0,54.66,3.25,251461.0,14934.0,38.84,2.98,929.0,71.0,15.43,3.24,70987.0,14888.0
Truck Transportation,484,5.52,0.99,7320.0,1314.0,8.88,1.82,136412.0,28018.0,44.14,2.86,58509.0,3789.0,45.72,2.3,702681.0,35343.0,4.02,1.01,5332.0,1339.0,5.83,1.8,89594.0,27720.0,33.6,2.81,44537.0,3721.0,29.94,2.31,460103.0,35547.0,3.58,1.0,4748.0,1322.0,4.99,1.67,76639.0,25652.0,14.85,2.4,19692.0,3187.0,9.3,1.94,142957.0,29753.0,41.71,2.61,55294.0,3456.0,42.14,2.44,647741.0,37477.0
Information,51,4.96,1.53,8670.0,2681.0,7.68,2.69,221111.0,77502.0,40.77,2.55,71206.0,4446.0,46.08,3.3,1326597.0,94944.0,2.81,1.45,4909.0,2527.0,5.19,2.37,149481.0,68299.0,19.63,2.17,34291.0,3791.0,17.12,2.48,492796.0,71481.0,1.28,1.23,2239.0,2140.0,4.88,2.16,140424.0,62130.0,15.59,2.07,27234.0,3609.0,17.35,2.43,499409.0,70001.0,43.9,2.52,76683.0,4402.0,35.49,3.05,1021797.0,87905.0
Finance and Insurance,52,4.1,0.66,19764.0,3195.0,5.28,1.3,320371.0,78946.0,37.16,1.43,179185.0,6893.0,42.08,1.78,2551739.0,108040.0,2.22,0.34,10725.0,1652.0,2.76,1.12,167453.0,67845.0,18.46,1.21,89031.0,5816.0,15.47,1.48,938041.0,90012.0,3.69,0.56,17788.0,2683.0,4.15,1.14,251623.0,69278.0,5.61,0.82,27063.0,3972.0,3.86,1.29,234163.0,77980.0,57.74,1.42,278412.0,6858.0,58.67,1.83,3557377.0,111192.0
Real Estate and Rental and Leasing,53,2.72,0.57,10941.0,2307.0,4.61,1.23,106662.0,28384.0,46.59,1.68,187502.0,6748.0,53.56,2.04,1240545.0,47280.0,1.92,0.36,7711.0,1447.0,3.89,1.32,90061.0,30652.0,19.12,1.35,76965.0,5433.0,28.53,2.02,660766.0,46856.0,2.62,0.55,10546.0,2202.0,3.54,1.17,82085.0,27154.0,9.38,1.11,37751.0,4466.0,12.5,1.77,289568.0,40927.0,57.56,1.67,231640.0,6738.0,45.32,1.84,1049582.0,42628.0
Professional and Technical Services,54,4.22,0.3,50283.0,3543.0,8.06,1.47,775032.0,141234.0,38.33,0.86,457184.0,10264.0,49.11,1.66,4721035.0,159420.0,2.88,0.25,34324.0,3010.0,5.16,1.25,495682.0,120276.0,18.7,0.7,223096.0,8302.0,26.27,1.8,2525770.0,172947.0,2.27,0.24,27095.0,2908.0,3.96,1.2,381121.0,115322.0,11.37,0.59,135636.0,7011.0,16.9,1.49,1624885.0,143711.0,53.9,0.86,643018.0,10300.0,42.63,1.6,4097990.0,153843.0
Management of Companies and Enterprises,55,5.38,1.38,3601.0,924.0,8.19,2.13,198674.0,51638.0,45.02,2.22,30140.0,1486.0,59.72,2.65,1448716.0,64262.0,5.76,1.4,3858.0,938.0,11.01,2.22,267143.0,53807.0,21.41,1.98,14334.0,1327.0,25.45,2.34,617306.0,56737.0,5.95,1.22,3981.0,817.0,7.48,2.16,181358.0,52405.0,10.67,1.49,7144.0,998.0,22.31,2.43,541339.0,58876.0,48.18,2.29,32256.0,1535.0,36.88,2.78,894714.0,67447.0
Administrative and Waste Services,56,6.96,0.65,36947.0,3469.0,12.0,1.46,1126445.0,136575.0,50.08,1.37,265800.0,7282.0,60.98,1.74,5722454.0,163357.0,5.15,0.53,27354.0,2815.0,9.54,1.47,895574.0,138359.0,29.58,1.31,156979.0,6975.0,36.97,2.21,3469047.0,207304.0,5.27,0.51,27990.0,2712.0,7.44,1.44,698274.0,135582.0,12.01,0.97,63719.0,5142.0,15.5,1.75,1454300.0,163886.0,39.28,1.28,208443.0,6770.0,28.5,1.69,2674737.0,158499.0
Educational Services,61,4.39,1.4,5363.0,1712.0,8.81,1.86,261491.0,55317.0,57.88,2.65,70686.0,3233.0,73.85,2.1,2192867.0,62370.0,5.11,1.5,6243.0,1832.0,7.28,1.79,216271.0,53060.0,32.56,2.0,39760.0,2445.0,39.96,2.36,1186537.0,69933.0,2.35,1.25,2866.0,1532.0,3.1,1.5,92092.0,44629.0,12.29,1.78,15013.0,2174.0,17.23,2.11,511706.0,62746.0,30.53,2.54,37290.0,3097.0,22.89,2.08,679619.0,61804.0
Health Care,621-623,9.17,0.33,63970.0,2326.0,20.03,0.99,3256847.0,160431.0,63.56,0.57,443334.0,4004.0,68.46,1.01,11132058.0,163829.0,8.08,0.28,56328.0,1976.0,20.32,0.96,3303683.0,156003.0,41.76,0.58,291265.0,4038.0,48.21,1.13,7839542.0,183406.0,9.2,0.31,64159.0,2165.0,18.07,0.94,2937458.0,153551.0,11.19,0.37,78031.0,2608.0,14.97,0.8,2433702.0,129519.0,23.47,0.5,163735.0,3517.0,14.47,0.69,2352791.0,112564.0
Social Assistance,624,7.09,0.93,15026.0,1981.0,14.37,1.3,486802.0,44124.0,63.07,5.75,133729.0,12193.0,65.9,1.91,2231652.0,64707.0,5.99,0.9,12695.0,1918.0,11.21,1.21,379527.0,40949.0,25.88,1.43,54870.0,3032.0,33.8,1.67,1144529.0,56450.0,6.86,0.9,14539.0,1918.0,13.07,1.27,442671.0,43022.0,4.95,0.81,10496.0,1710.0,5.31,0.85,179695.0,28722.0,30.33,5.75,64311.0,12199.0,24.74,1.84,837749.0,62370.0
"Arts, Entertainment, and Recreation",71,4.55,1.27,6718.0,1869.0,4.86,1.65,118656.0,40314.0,70.29,2.55,103704.0,3762.0,85.13,1.99,2077966.0,48569.0,3.06,0.84,4511.0,1246.0,3.73,1.46,91034.0,35557.0,32.03,2.2,47252.0,3253.0,51.84,2.66,1265280.0,64944.0,1.95,0.64,2881.0,939.0,1.55,1.39,37839.0,33884.0,20.17,2.46,29764.0,3635.0,29.52,2.11,720447.0,51446.0,24.72,2.67,36476.0,3944.0,8.01,1.74,195520.0,42442.0
