State,FIPS,Q1_r54_p,Q1_r54_p_se
"Total U.S., private sector",,42.88,0.43
Alabama,01,37.18,2.0
Alaska,02,39.65,1.72
Arizona,04,39.27,1.92
Arkansas,05,33.0,1.82
California,06,47.5,2.15
Colorado,08,34.73,1.77
Connecticut,09,43.12,1.86
Delaware,10,39.13,1.86
District of Columbia,11,35.47,1.9
Florida,12,45.59,2.14
Georgia,13,40.09,1.85
Hawaii,15,46.99,1.96
Idaho,16,35.1,1.61
Illinois,17,49.35,2.14
Indiana,18,38.39,1.74
Iowa,19,39.26,1.6
Kansas,20,42.04,1.73
Kentucky,21,39.66,1.75
Louisiana,22,41.2,2.19
Maine,23,43.03,1.76
Maryland,24,40.9,1.89
Massachusetts,25,40.81,1.87
Michigan,26,48.87,2.29
Minnesota,27,42.14,1.81
Mississippi,28,39.92,2.22
Missouri,29,42.46,2.01
Montana,30,34.34,1.48
Nebraska,31,33.65,1.64
Nevada,32,45.08,1.77
New Hampshire,33,38.24,1.81
New Jersey,34,43.8,1.97
New Mexico,35,37.09,1.52
New York,36,47.29,2.15
North Carolina,37,38.37,1.76
North Dakota,38,39.94,1.84
Ohio,39,43.55,1.89
Oklahoma,40,42.94,1.9
Oregon,41,36.73,1.66
Pennsylvania,42,43.7,1.97
Puerto Rico,72,54.52,1.88
Rhode Island,44,40.53,1.88
South Carolina,45,38.17,1.85
South Dakota,46,33.22,1.77
Tennessee,47,37.87,1.87
Texas,48,44.88,2.08
Utah,49,36.31,1.86
Vermont,50,42.52,1.57
Virginia,51,37.46,1.94
Washington,53,43.35,1.81
West Virginia,54,38.82,1.73
Wisconsin,55,42.32,1.77
Wyoming,56,37.78,1.64
