State,FIPS,Q2_r5_p,Q2_r5_p_se,Q2_r5_estab,Q2_r5_estab_se,Q2_r5_pemp,Q2_r5_pemp_se,Q2_r5_emp,Q2_r5_emp_se,Q2_r6_p,Q2_r6_p_se,Q2_r6_estab,Q2_r6_estab_se,Q2_r6_pemp,Q2_r6_pemp_se,Q2_r6_emp,Q2_r6_emp_se,Q2_r7_p,Q2_r7_p_se,Q2_r7_estab,Q2_r7_estab_se,Q2_r7_pemp,Q2_r7_pemp_se,Q2_r7_emp,Q2_r7_emp_se,Q2_r8_p,Q2_r8_p_se,Q2_r8_estab,Q2_r8_estab_se,Q2_r8_pemp,Q2_r8_pemp_se,Q2_r8_emp,Q2_r8_emp_se,Q2_r9_p,Q2_r9_p_se,Q2_r9_estab,Q2_r9_estab_se,Q2_r9_pemp,Q2_r9_pemp_se,Q2_r9_emp,Q2_r9_emp_se,Q2_r10_p,Q2_r10_p_se,Q2_r10_estab,Q2_r10_estab_se,Q2_r10_pemp,Q2_r10_pemp_se,Q2_r10_emp,Q2_r10_emp_se,Q2_r12_p,Q2_r12_p_se,Q2_r12_estab,Q2_r12_estab_se,Q2_r12_pemp,Q2_r12_pemp_se,Q2_r12_emp,Q2_r12_emp_se
"Total U.S., private sector",,6.19,0.13,523006.0,10901.0,12.38,0.32,15627488.0,409464.0,51.85,0.3,4383425.0,25764.0,62.0,0.39,78287877.0,492014.0,4.91,0.12,414976.0,9773.0,10.94,0.31,13819856.0,396768.0,29.94,0.24,2531174.0,20579.0,38.22,0.4,48270060.0,507222.0,5.6,0.12,473460.0,9916.0,9.74,0.29,12295992.0,370376.0,10.58,0.19,894158.0,15667.0,14.72,0.33,18591190.0,422908.0,39.22,0.3,3315750.0,25355.0,26.7,0.34,33713091.0,430985.0
Alabama,01,6.15,0.49,6821.0,547.0,10.62,1.31,172272.0,21238.0,47.65,1.11,52862.0,1226.0,58.65,1.68,951423.0,27303.0,5.0,0.44,5543.0,488.0,10.17,1.33,164923.0,21588.0,25.53,0.95,28318.0,1050.0,32.62,1.79,529107.0,29036.0,5.92,0.5,6564.0,549.0,8.89,1.2,144224.0,19453.0,7.51,0.61,8327.0,681.0,8.55,1.38,138642.0,22454.0,48.31,1.07,53588.0,1190.0,36.06,1.5,584976.0,24373.0
Alaska,02,6.41,0.43,1233.0,84.0,12.21,2.66,30433.0,6619.0,52.27,0.95,10047.0,182.0,58.35,2.6,145458.0,6480.0,5.47,0.41,1051.0,79.0,15.77,2.51,39325.0,6260.0,35.24,0.89,6773.0,170.0,46.57,2.73,116104.0,6794.0,6.1,0.43,1172.0,82.0,7.76,2.48,19337.0,6192.0,7.76,0.52,1491.0,99.0,15.67,2.59,39060.0,6462.0,36.36,0.92,6989.0,177.0,24.22,2.51,60386.0,6255.0
Arizona,04,6.09,0.52,9245.0,791.0,16.15,2.04,405295.0,51310.0,46.23,1.2,70155.0,1815.0,57.08,2.21,1432700.0,55540.0,4.78,0.48,7249.0,729.0,10.48,1.77,262987.0,44544.0,26.5,0.98,40203.0,1493.0,34.16,2.05,857352.0,51565.0,4.95,0.48,7516.0,731.0,9.38,1.65,235403.0,41357.0,9.21,0.73,13977.0,1101.0,13.66,2.03,342816.0,50928.0,45.65,1.18,69262.0,1783.0,32.09,2.1,805344.0,52599.0
Arkansas,05,6.51,0.51,4855.0,380.0,17.35,1.94,177182.0,19803.0,43.05,1.08,32126.0,805.0,54.32,1.92,554829.0,19636.0,4.85,0.4,3617.0,298.0,12.07,1.44,123250.0,14746.0,23.27,0.88,17365.0,654.0,32.62,1.74,333151.0,17822.0,4.97,0.42,3708.0,311.0,8.97,1.25,91575.0,12802.0,8.43,0.63,6288.0,467.0,13.51,1.77,137970.0,18089.0,51.02,1.08,38069.0,803.0,34.24,1.58,349674.0,16148.0
California,06,5.61,0.71,57065.0,7171.0,13.13,1.56,1929677.0,229329.0,56.72,1.81,576830.0,18416.0,66.1,1.78,9718616.0,262358.0,4.31,0.62,43832.0,6341.0,10.82,1.38,1591289.0,203221.0,35.02,1.32,356116.0,13376.0,43.03,1.97,6325622.0,289534.0,5.55,0.65,56443.0,6561.0,9.93,1.34,1460520.0,197041.0,12.9,1.03,131240.0,10448.0,16.36,1.52,2405475.0,223655.0,32.45,1.8,330003.0,18308.0,21.24,1.48,3122277.0,218219.0
Colorado,08,5.72,0.52,11077.0,1002.0,11.9,1.97,274845.0,45461.0,48.66,1.21,94174.0,2334.0,61.03,2.33,1409578.0,53880.0,4.25,0.49,8220.0,941.0,6.44,1.24,148710.0,28642.0,28.43,1.01,55023.0,1956.0,38.44,1.71,887889.0,39468.0,4.64,0.46,8989.0,890.0,8.23,1.86,190062.0,43027.0,11.48,0.76,22228.0,1472.0,15.4,1.38,355742.0,31984.0,44.16,1.17,85475.0,2257.0,29.81,1.6,688604.0,36948.0
Connecticut,09,7.0,0.66,7032.0,662.0,11.12,1.58,159669.0,22745.0,52.76,1.16,52999.0,1164.0,59.97,1.71,860961.0,24613.0,5.26,0.48,5283.0,483.0,16.49,1.69,236797.0,24227.0,28.46,0.98,28586.0,986.0,35.24,1.84,505915.0,26451.0,7.47,0.63,7500.0,637.0,14.12,1.71,202728.0,24553.0,10.58,0.74,10626.0,742.0,17.67,1.68,253651.0,24083.0,37.1,1.19,37273.0,1198.0,26.03,1.54,373710.0,22125.0
Delaware,10,5.43,0.5,1459.0,134.0,13.16,3.44,51023.0,13345.0,49.01,1.23,13163.0,330.0,61.72,3.53,239326.0,13687.0,3.9,0.42,1048.0,113.0,8.77,3.39,34025.0,13156.0,28.44,1.11,7638.0,299.0,37.8,3.58,146565.0,13879.0,4.82,0.47,1294.0,127.0,9.96,3.42,38640.0,13250.0,10.43,0.88,2801.0,237.0,10.79,3.46,41848.0,13429.0,43.44,1.22,11666.0,329.0,29.88,3.53,115850.0,13699.0
District of Columbia,11,4.92,0.68,1487.0,205.0,7.6,3.05,40841.0,16390.0,45.08,1.34,13614.0,405.0,54.42,3.57,292311.0,19159.0,3.03,0.59,913.0,178.0,4.13,3.03,22184.0,16291.0,24.97,1.11,7541.0,335.0,29.22,3.27,156981.0,17582.0,2.23,0.5,674.0,152.0,3.11,3.0,16723.0,16140.0,15.73,1.02,4750.0,308.0,19.56,3.42,105048.0,18363.0,47.22,1.35,14259.0,409.0,33.55,3.54,180206.0,18988.0
Florida,12,5.49,0.59,35043.0,3732.0,10.01,1.63,781134.0,127324.0,49.94,1.32,318483.0,8394.0,60.92,2.12,4751982.0,165225.0,3.58,0.55,22825.0,3483.0,8.77,1.71,684499.0,133166.0,28.99,1.12,184893.0,7118.0,34.83,1.9,2717325.0,148453.0,2.72,0.47,17371.0,2973.0,4.93,1.5,384321.0,116734.0,11.89,0.89,75816.0,5679.0,15.85,1.66,1236669.0,129155.0,43.22,1.29,275652.0,8214.0,32.34,2.02,2522824.0,157729.0
Georgia,13,6.85,0.59,16680.0,1431.0,11.29,1.43,434937.0,55137.0,47.88,1.21,116543.0,2942.0,59.99,1.97,2311124.0,75706.0,4.58,0.47,11154.0,1136.0,9.7,1.41,373774.0,54252.0,28.81,1.04,70138.0,2524.0,37.69,1.99,1452023.0,76848.0,4.52,0.43,11000.0,1036.0,6.9,1.16,265958.0,44608.0,11.72,0.78,28525.0,1902.0,18.36,1.67,707459.0,64486.0,44.52,1.17,108377.0,2850.0,27.05,1.66,1042130.0,63936.0
Hawaii,15,5.13,0.44,1958.0,167.0,8.85,1.33,47112.0,7075.0,56.57,1.02,21607.0,390.0,68.55,1.85,365054.0,9863.0,3.23,0.36,1235.0,137.0,6.65,1.51,35441.0,8062.0,35.45,0.94,13539.0,358.0,49.19,2.04,261988.0,10881.0,3.14,0.33,1198.0,126.0,5.88,1.16,31300.0,6161.0,14.83,0.74,5666.0,281.0,24.61,1.78,131070.0,9469.0,34.68,0.99,13247.0,378.0,20.82,1.25,110862.0,6674.0
Idaho,16,6.76,0.47,4063.0,280.0,15.64,1.63,99053.0,10346.0,45.56,1.06,27374.0,637.0,57.89,1.59,366601.0,10039.0,5.17,0.44,3107.0,263.0,13.59,1.53,86079.0,9687.0,26.71,0.91,16047.0,544.0,34.27,1.7,217017.0,10735.0,5.06,0.41,3043.0,246.0,10.84,1.26,68627.0,7994.0,6.4,0.55,3844.0,333.0,6.74,1.18,42691.0,7460.0,47.04,1.06,28262.0,636.0,29.34,1.53,185794.0,9698.0
Illinois,17,5.38,0.53,17396.0,1701.0,10.24,1.17,533279.0,61138.0,50.49,1.3,163280.0,4207.0,63.89,1.65,3327503.0,85909.0,5.11,0.53,16519.0,1702.0,9.69,1.22,504561.0,63570.0,30.46,1.12,98488.0,3613.0,37.92,1.7,1975008.0,88367.0,5.13,0.51,16586.0,1645.0,7.53,1.08,392318.0,56356.0,12.3,0.87,39775.0,2826.0,15.4,1.41,801926.0,73209.0,39.8,1.29,128717.0,4180.0,29.82,1.92,1553064.0,99982.0
Indiana,18,7.61,0.58,11749.0,903.0,15.23,1.42,409686.0,38199.0,48.4,1.1,74712.0,1698.0,62.47,1.62,1679904.0,43436.0,6.36,0.53,9823.0,825.0,13.19,1.37,354690.0,36800.0,28.67,0.94,44262.0,1444.0,33.75,1.67,907513.0,44870.0,6.45,0.5,9949.0,775.0,11.89,1.21,319844.0,32526.0,9.12,0.68,14077.0,1046.0,14.56,1.5,391605.0,40376.0,39.81,1.08,61455.0,1671.0,22.39,1.38,602238.0,37084.0
Iowa,19,5.55,0.42,5105.0,386.0,14.81,1.27,193740.0,16569.0,46.59,0.98,42853.0,905.0,58.21,1.81,761659.0,23667.0,5.4,0.4,4965.0,364.0,14.55,1.24,190335.0,16176.0,26.57,0.83,24440.0,762.0,33.1,1.24,433161.0,16175.0,6.21,0.41,5711.0,380.0,12.04,1.25,157559.0,16412.0,6.52,0.5,5993.0,458.0,10.41,0.85,136279.0,11138.0,46.56,0.96,42820.0,884.0,31.35,1.28,410194.0,16796.0
Kansas,20,6.97,0.47,5351.0,358.0,15.31,2.13,175607.0,24480.0,44.63,1.01,34237.0,775.0,58.41,1.91,670148.0,21886.0,5.46,0.43,4188.0,331.0,11.82,2.22,135583.0,25428.0,27.25,0.87,20906.0,669.0,35.7,1.88,409591.0,21542.0,5.23,0.41,4010.0,316.0,9.59,1.68,109991.0,19242.0,7.59,0.56,5821.0,427.0,16.55,1.7,189898.0,19475.0,45.52,1.01,34924.0,777.0,29.89,1.8,342893.0,20643.0
Kentucky,21,7.16,0.55,7227.0,559.0,18.05,2.28,288981.0,36428.0,50.27,1.13,50755.0,1140.0,60.3,2.03,965598.0,32552.0,6.02,0.54,6082.0,546.0,14.66,2.17,234717.0,34713.0,26.04,0.98,26289.0,987.0,33.55,2.16,537220.0,34656.0,6.48,0.55,6544.0,555.0,12.5,2.17,200091.0,34701.0,7.22,0.62,7288.0,624.0,9.79,1.9,156767.0,30398.0,40.2,1.11,40583.0,1117.0,25.63,2.15,410409.0,34394.0
Louisiana,22,5.67,0.47,6348.0,522.0,13.79,1.36,222464.0,21960.0,56.21,1.14,62971.0,1280.0,61.44,1.65,991207.0,26579.0,4.38,0.42,4909.0,472.0,13.22,1.36,213278.0,21939.0,29.89,1.0,33490.0,1122.0,39.25,1.52,633155.0,24533.0,4.96,0.45,5556.0,506.0,12.06,1.33,194620.0,21502.0,10.06,0.71,11274.0,792.0,12.46,1.0,201042.0,16077.0,40.59,1.11,45476.0,1240.0,28.09,1.39,453181.0,22467.0
Maine,23,6.04,0.42,2680.0,187.0,11.93,1.09,62088.0,5670.0,49.42,1.04,21915.0,460.0,59.03,2.09,307260.0,10901.0,5.14,0.4,2278.0,178.0,10.02,1.07,52160.0,5566.0,25.67,0.86,11383.0,382.0,33.03,2.62,171923.0,13625.0,8.35,0.47,3702.0,210.0,13.82,1.13,71929.0,5868.0,6.72,0.53,2979.0,233.0,9.29,0.9,48372.0,4685.0,39.08,1.02,17328.0,452.0,25.73,1.92,133904.0,9972.0
Maryland,24,7.02,0.6,10820.0,931.0,12.03,1.78,264957.0,39302.0,52.52,1.21,80984.0,1860.0,60.96,1.74,1342953.0,38261.0,5.38,0.5,8297.0,777.0,11.27,1.81,248303.0,39840.0,28.36,1.03,43726.0,1581.0,35.24,1.96,776314.0,43117.0,6.09,0.52,9395.0,802.0,11.24,1.7,247581.0,37357.0,9.97,0.72,15379.0,1103.0,14.66,1.79,322973.0,39366.0,40.6,1.18,62599.0,1817.0,30.0,1.93,660918.0,42414.0
Massachusetts,25,5.98,0.7,11911.0,1386.0,10.65,2.38,336126.0,75040.0,55.33,1.32,110200.0,2625.0,65.9,2.51,2080616.0,79381.0,5.33,0.51,10620.0,1021.0,13.02,2.33,411083.0,73500.0,27.9,1.14,55565.0,2263.0,38.54,2.62,1216751.0,82745.0,6.7,0.57,13347.0,1128.0,11.09,2.2,350276.0,69452.0,9.67,0.76,19258.0,1523.0,14.1,2.32,445066.0,73186.0,36.1,1.32,71903.0,2635.0,23.46,2.28,740591.0,72130.0
Michigan,26,6.9,0.69,15101.0,1513.0,14.21,1.66,535756.0,62553.0,63.32,1.23,138534.0,2697.0,72.42,1.86,2730744.0,70158.0,6.5,0.68,14216.0,1495.0,13.94,1.74,525439.0,65763.0,34.3,1.17,75044.0,2566.0,44.4,2.3,1673928.0,86706.0,8.4,0.71,18373.0,1543.0,13.91,1.54,524430.0,58050.0,10.44,0.87,22851.0,1909.0,17.79,2.24,670639.0,84495.0,27.87,1.19,60978.0,2597.0,16.07,1.66,606056.0,62515.0
