Size Class,Q2_r5_p,Q2_r5_p_se,Q2_r5_estab,Q2_r5_estab_se,Q2_r5_pemp,Q2_r5_pemp_se,Q2_r5_emp,Q2_r5_emp_se,Q2_r6_p,Q2_r6_p_se,Q2_r6_estab,Q2_r6_estab_se,Q2_r6_pemp,Q2_r6_pemp_se,Q2_r6_emp,Q2_r6_emp_se,Q2_r7_p,Q2_r7_p_se,Q2_r7_estab,Q2_r7_estab_se,Q2_r7_pemp,Q2_r7_pemp_se,Q2_r7_emp,Q2_r7_emp_se,Q2_r8_p,Q2_r8_p_se,Q2_r8_estab,Q2_r8_estab_se,Q2_r8_pemp,Q2_r8_pemp_se,Q2_r8_emp,Q2_r8_emp_se,Q2_r9_p,Q2_r9_p_se,Q2_r9_estab,Q2_r9_estab_se,Q2_r9_pemp,Q2_r9_pemp_se,Q2_r9_emp,Q2_r9_emp_se,Q2_r10_p,Q2_r10_p_se,Q2_r10_estab,Q2_r10_estab_se,Q2_r10_pemp,Q2_r10_pemp_se,Q2_r10_emp,Q2_r10_emp_se,Q2_r12_p,Q2_r12_p_se,Q2_r12_estab,Q2_r12_estab_se,Q2_r12_pemp,Q2_r12_pemp_se,Q2_r12_emp,Q2_r12_emp_se
"Total U.S., private sector",6.19,0.13,523006.0,10901.0,12.38,0.32,15627488.0,409464.0,51.85,0.3,4383425.0,25764.0,62.0,0.39,78287877.0,492014.0,4.91,0.12,414976.0,9773.0,10.94,0.31,13819856.0,396768.0,29.94,0.24,2531174.0,20579.0,38.22,0.4,48270060.0,507222.0,5.6,0.12,473460.0,9916.0,9.74,0.29,12295992.0,370376.0,10.58,0.19,894158.0,15667.0,14.72,0.33,18591190.0,422908.0,39.22,0.3,3315750.0,25355.0,26.7,0.34,33713091.0,430985.0
Size Class 1 (1-4),3.53,0.16,160407.0,7368.0,3.57,0.16,271688.0,12366.0,46.81,0.49,2128680.0,22083.0,47.7,0.52,3631212.0,39348.0,2.85,0.15,129653.0,6753.0,2.91,0.15,221294.0,11381.0,24.39,0.36,1109209.0,16325.0,24.99,0.35,1902372.0,26814.0,2.81,0.15,127964.0,6757.0,2.93,0.15,223150.0,11455.0,11.15,0.29,507058.0,13050.0,10.98,0.27,835701.0,20721.0,46.52,0.49,2115310.0,22298.0,45.59,0.52,3470421.0,39654.0
Size Class 2 (5-9),6.77,0.31,107666.0,4956.0,6.78,0.31,670807.0,30672.0,54.61,0.56,868862.0,8909.0,54.71,0.56,5415176.0,55105.0,5.09,0.27,80954.0,4300.0,5.11,0.27,505950.0,26658.0,33.07,0.53,526192.0,8416.0,33.19,0.53,3284966.0,52103.0,7.13,0.29,113467.0,4652.0,7.17,0.29,709988.0,28890.0,8.19,0.37,130327.0,5906.0,8.2,0.37,811567.0,36518.0,35.41,0.54,563422.0,8594.0,35.26,0.54,3490093.0,53101.0
Size Class 3 (10-19),9.45,0.38,104749.0,4227.0,9.46,0.38,1373456.0,55338.0,56.96,0.67,631474.0,7382.0,57.05,0.66,8282783.0,96191.0,6.91,0.29,76572.0,3196.0,6.92,0.29,1004785.0,41869.0,36.83,0.6,408335.0,6637.0,37.02,0.6,5375273.0,86607.0,9.43,0.32,104551.0,3552.0,9.44,0.32,1370421.0,46427.0,8.78,0.36,97342.0,4039.0,8.82,0.36,1279989.0,52754.0,30.57,0.57,338881.0,6338.0,30.41,0.57,4415867.0,82401.0
Size Class 4 (20-49),11.24,0.47,86128.0,3619.0,11.22,0.47,2546325.0,107823.0,61.08,0.73,468203.0,5560.0,61.03,0.73,13855477.0,165211.0,9.21,0.47,70569.0,3566.0,9.19,0.47,2086865.0,106664.0,41.08,0.7,314911.0,5389.0,41.02,0.71,9311437.0,160362.0,9.98,0.42,76464.0,3204.0,9.94,0.42,2256783.0,95346.0,11.6,0.52,88941.0,3963.0,11.6,0.52,2633693.0,118144.0,25.29,0.62,193863.0,4783.0,25.35,0.63,5754806.0,142412.0
Size Class 5 (50-99),13.83,1.0,34424.0,2501.0,13.85,1.01,2348530.0,170990.0,65.81,1.07,163849.0,2660.0,65.72,1.07,11145934.0,182021.0,12.73,0.98,31688.0,2430.0,12.78,0.98,2166717.0,166147.0,40.13,1.18,99912.0,2926.0,39.93,1.18,6771303.0,200040.0,12.09,0.97,30087.0,2407.0,12.1,0.97,2052787.0,164391.0,15.09,0.91,37560.0,2272.0,15.05,0.91,2551625.0,154997.0,23.26,0.97,57899.0,2408.0,23.37,0.97,3963170.0,164792.0
Size Class 6 (100-249),15.03,1.13,20806.0,1570.0,15.02,1.14,3095719.0,235485.0,63.54,1.43,87961.0,1974.0,63.41,1.43,13065297.0,294764.0,12.68,1.1,17556.0,1520.0,12.72,1.11,2620560.0,228323.0,38.43,1.46,53202.0,2020.0,38.21,1.47,7873898.0,302416.0,10.97,1.05,15189.0,1448.0,10.97,1.06,2261005.0,217636.0,16.79,1.2,23243.0,1664.0,16.67,1.2,3435359.0,247706.0,24.35,1.17,33703.0,1622.0,24.51,1.18,5049688.0,243554.0
Size Class 7 (250-499),17.65,1.52,6152.0,532.0,17.49,1.51,2067452.0,178679.0,63.32,1.72,22076.0,600.0,63.37,1.71,7491192.0,202444.0,15.83,1.45,5521.0,504.0,15.7,1.43,1855871.0,169027.0,34.37,1.84,11981.0,642.0,34.42,1.84,4068651.0,217418.0,11.64,1.43,4057.0,499.0,11.48,1.41,1357259.0,167127.0,16.63,1.6,5799.0,558.0,16.71,1.6,1974987.0,188894.0,24.54,1.64,8556.0,571.0,24.59,1.63,2907095.0,192361.0
Size Class 8 (500-999),14.69,0.77,1745.0,91.0,14.71,0.77,1190332.0,62519.0,65.96,0.95,7833.0,112.0,65.93,0.95,5334121.0,76628.0,12.06,0.71,1432.0,84.0,12.12,0.71,980173.0,57481.0,38.7,0.9,4596.0,107.0,38.72,0.91,3132915.0,73296.0,9.04,0.65,1074.0,77.0,9.02,0.65,730045.0,52410.0,20.21,0.77,2401.0,92.0,20.18,0.77,1632818.0,62694.0,23.33,0.85,2770.0,101.0,23.35,0.86,1889260.0,69385.0
Size Class 9 (1000+),14.5,1.22,928.0,78.0,14.66,1.26,2063180.0,177069.0,70.1,1.31,4486.0,84.0,71.54,1.31,10066684.0,184588.0,16.11,1.23,1031.0,79.0,16.9,1.27,2377642.0,178449.0,44.33,1.33,2837.0,85.0,46.54,1.36,6549243.0,191075.0,9.47,0.98,606.0,63.0,9.48,1.0,1334554.0,141059.0,23.24,1.27,1487.0,81.0,24.41,1.34,3435451.0,188025.0,21.01,1.15,1345.0,73.0,19.7,1.15,2772691.0,161224.0
